Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,MAR,MAR,36841,all,all,Single Adults,Title 8
2020,2020,MAR,MAR,20378,all,all,Single Adults,Title 8
2021,2021,MAR,MAR,12537,all,all,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,66779,all,all,Single Adults,Title 8
2019,2019,FEB,FEB,28486,all,all,Single Adults,Title 8
2020,2020,FEB,FEB,26042,all,all,Single Adults,Title 8
2021,2021,FEB,FEB,7270,all,all,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,42179,all,all,Single Adults,Title 8
2019,2019,JAN,JAN,24315,all,all,Single Adults,Title 8
2020,2020,JAN,JAN,25278,all,all,Single Adults,Title 8
2021,2021,JAN,JAN,5539,all,all,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,42880,all,all,Single Adults,Title 8
2019,2019,DEC,DEC,23712,all,all,Single Adults,Title 8
2020,2020,DEC,DEC,24812,all,all,Single Adults,Title 8
2021,2021,DEC,DEC,5592,all,all,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,45307,all,all,Single Adults,Title 8
2019,2019,NOV,NOV,26584,all,all,Single Adults,Title 8
2020,2020,NOV,NOV,25769,all,all,Single Adults,Title 8
2021,2021,NOV,NOV,5143,all,all,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,37210,all,all,Single Adults,Title 8
2019,2019,OCT,OCT,27983,all,all,Single Adults,Title 8
2020,2020,OCT,OCT,28117,all,all,Single Adults,Title 8
